deptId,deptServices,deptName,buildingId,deptPhone,nodeId,departmentNodes
1,"Allergy (environmental, food, medication and venoms), asthma, anaphylaxis, angioedema, sinusitis, and immunodeficiencyy",Allergy and Clinical Immunology,1,617-732-9850,null,null
2,Backup childcare for employees,"Backup Child Care Center (Monday-Friday, 8am-4:30pm)",1,617-732-9543,null,null
3,Medical and surgical dermatology,Brigham Dermatology Associates (BDA),1,617-732-9080,null,null
4,"Gynecology, obstetrics",Brigham Obstetrics and Gynecology Group (BPG),1,617-732-9100,null,null
5,Adult primary care,Brigham Physicians Group,1,617-732-9900,null,null
6,"Psychiatry, psychology, social work",Brigham Psychiatric Specialties,1,617-732-9811,null,null
7,Multidisciplinary pain management,Center for Pain Medicine,1,617-732-9060,null,null
8,"Crohns disease, inflammatory bowel disease, infusion services, microscopic colitis, pulmonary, rheumatology, ulcerative colitis",Crohns and Colitis Center,1,617-732-6389,null,null
9,"Bacterial overgrowth breath test, colonoscopy, H.Pylori breath test, lactose malabsorbtion breath test, upper endoscopy",Endoscopy Center,1,617-732-7426,null,null
10,"Cardiology, dermatology, (cosmetic, medical, and surgical), endocrinology, gastroenterology, gynecology, hematology, infectious diseases, mental health (social work), general neurology, nutrition, primary care, pulmonary, renal, rheumatology, sleep medicine, Womens Health (Menopause and Midlife Clinic, Obstetric Internal Medicine)",Gretchen S. and Edward A.Fish Center for Womens Health,1,617-732-9300,null,null
11,"Blood work, lab services","Laboratory (Monday-Friday 7am-6:30pm, Saturday 9am-1pm, excluding holidays)",1,617-732-9841,CHFloor1Room100,[object Object]
12,"Orthopedic surgery, Vascular surgery, Contact Dermatitis and Occupational Dermatology Program, Pain Medicine and Travel Medicine",Multi-Specialty Clinic,1,617-732-9500,CHFloor1Road130,[object Object]
13,"Acupuncture, health coaching, chiropractic, craniosacral therapy, integrative medicine, structural massage and movement therapies, neurology (movement disorders and headache), echocardiography, and pulmonary. Educational courses: Integrative wellness courses are also offered.",Osher Clinical Center for Integrative Health,1,617-732-9700,null,null
14,Patient financial counseling,Patient Financial Services,1,617-732-9677,null,null
15,Outpatient pharmacy services,"Pharmacy (Monday-Friday 9am-4pm, excluding holidays)",1,617-732-9040,null,null
16,"Bone density, Breast imaging/Mammography, ultrasound, X-Ray",Radiology,1,617-732-9801,null,null
17,"CT scan, MRI, X-Ray","Radiology, MRI/CT scan",1,617-732-9821,CHFloor1Room102,[object Object]
18,"Orthopedic, sports, neurologic and vestibular Physical Therapy, Mens and Womens pelvic floor Physical Therapy. Hand/Occupational Therapy Speech Language Pathology",Rehabilitation Services,1,617-732-9525,null,null
19,Blood Draw / Phlebotomy,Blood Draw / Phlebotomy,2,N/A,PPFloor1Room130,[object Object]
20,Pharmacy,Pharmacy,2,N/A,PPFloor1Room130,[object Object]
21,"magnetic resonance imaging (MRI), computed tomography (CT), single photon emission computed tomography (SPECT) imaging, ultrasound, digital mammography, x-ray, bone densitometry. Available twice a week: arthrograms, magnetic resonance (MR) arthrograms, computed tomography (CT) arthrograms, diagnostic and therapeutic joint injections",Radiology,2,Via Fax: 508-718-4026,PPFloor1Room110,[object Object]
22,"Transthoracic echocardiography, Holter monitoring, Electrocardiogram (ECG), Exercise tolerance testing, Exercise stress echocardiography, Vascular and arterial studies",Cardiovascular Services,2,1-866-378-9164,PPFloor1Room150,[object Object]
23,"diagnostic cystoscopy (cysto), retrograde pyelogram, transurethral resection of bladder tumor, cold knife urethrotomy, bladder stone removal, fulguration, bladder biopsy, ureteroscopy, chemotherapy and formalin instillation, laser lithotripsy, electrohydraulic lithotripsy (EHL), urethral or bladder neck contracture dilation, circumcision, suprapubic tube (catheter) change, ureteral stent placement and removal, prostate needle biopsy, varicocelectomy, hydrocelectomy, vasectomy, testicular biopsy, orchiectomy, SPARC™ procedures",Urology,2,1-866-378-9164,null,null
24,Urgent Care,Urgent Care Center,2,508-718-4400,PPFloor1Room120,[object Object]
25,"Hand and Upper Extremity, Arthroplasty, Pediatric Trauma, Physiatry, Podiatry",Orthopedics,2,1-866-378-9164,PPFloor2Room,[object Object]
26,"Cardiac Rehab, Occupational Therapy(Hand Therapy, Upper Extremity), Physical Therapy, Speech - Language, Clinical Lab, Surgi-Care",Rehabilitation Services,2, 1-866-378-9164,PPFloor2Room,[object Object]
27,"Audiology, ENT, General and Gastrointestinal Surgery, Plastic Surgery, Thoracic Surgery, Vascular Surgery, Weight Management and Wellness",Surgical Specialties,2,N/A,PPFloor3Room_1,[object Object]
28,"arm, elbow and hand disorders, athletic injuries, spine disorders, foot and ankle problems, hip and knee disorders, shoulder issues, joint replacement, musculoskeletal oncology",Sports Medicine Center,2,1-866-378-9164,PPFloor3Room,[object Object]
29,X-Ray,X-Ray Suite,2,N/A,PPFloor3Room,[object Object]
30,Electromyography (EMG),Electromyography (EMG),2,N/A,PPFloor4Room1_1,[object Object]
31,Nutrition,Nutrition,2,N/A,PPFloor4Room1_1,[object Object]
32,"diagnosis and treatment of spine-related low-back and neck pain, complex regional pain syndrome, post-herpetic neuralgia (shingles), other neuropathic syndromes, chronic pelvic pain, chronic pain in young adults, comprehensive evaluation for patients with cancer-related pain, headaches, arthritis",Pain Medicine,2,1-866-378-9164,PPFloor4Room1_1,[object Object]
33,"interventional spine procedures, electrodiagnostic medicine consultations and alternative therapies such as medical acupuncture",Physiatry,2,N/A,PPFloor4Room1_1,[object Object]
34,Plumonary Function Testing,Plumonary Function Testing,2,N/A,PPFloor4Room1_1,[object Object]
35,Day Surgery Center,Day Surgery Center,2,N/A,PPFloor4Room1_1,[object Object]
36,Mass General Hospital for Children,Mass General Hospital for Children,3,888-644-3248,null,null
37,Spaulding Outpatient Center for Children,Spaulding Outpatient Center for Children,3,(857) 307-3202,null,null
38,"Allergy, Cardiac Arrhythmia, Dermatology, Endocrinology, Gastroenterology, Kidney (Renal) Medicine, Neurology, Neurosurgery, Ophthalmology, Optometry, Pulmonology, Rheumatology, Vein Care Services, Women's Health",Multi Specialty Clinic,3,1-866-378-9164,PPFloor3Room_2,[object Object]
39,Patient Financial Services,Patient Financial Services,3,N/A,null,null
40,Blood Draw / Phlebotomy,Blood Draw / Phlebotomy,3,N/A,PPFloor4Room3_1,[object Object]
41,Community Room,Community Room,3,N/A,PPFloor4Room2,[object Object]
42,Primary Care,Primary Care,3,(508) 718-4050,PPFloor4Room2,[object Object]
43,null,Admitting/Registration,4,null,null,null
44,null,Atrium Cafe,4,null,null,null
45,null,Audiology,4,null,FKFloor1Room,[object Object]
46,null,Blood Drawing Lab,4,null,FKFloor1Room,[object Object]
47,null,Cardiac Rehab,4,null,FKFloor1Room,[object Object]
48,null,Emergency Department,4,null,null,null
49,null,Emergency Entrance,4,null,null,null
50,null,GI Endoscopy,4,null,null,null
51,null,Information,4,null,null,null
52,null,MRI/CT,4,null,FKFloor1Room,[object Object]
53,null,Patient Finances,4,null,null,null
54,null,Pre-Admittance Screening,4,null,null,null
55,null,Pulmonary Lab,4,null,null,null
56,null,Radiology,4,null,null,null
57,null,Special Testing,4,null,null,null
58,null,Starbucks,4,null,null,null
59,null,Taiclet Family Center,4,null,null,null
60,null,Valet Parking,4,null,null,null
61,null,Vascular Lab,4,null,FKFloor1Room,[object Object]
62,null,Biomedical Engineering,4,null,null,null
63,null,Food Services,4,null,null,null
64,null,Morgue,4,null,null,null
65,null,Occupational Therapy,4,null,null,null
66,null,Otolaryngology,4,null,null,null
67,null,Pharmacy,4,null,null,null
68,null,Physical Therapy,4,null,null,null
69,null,Plastic Surgery,4,null,null,null
70,null,Psychiatric Inpatient Care,4,null,null,null
71,null,Psychiatric/Addiction Recovery,4,null,null,null
72,null,Rehabilitation Services,4,null,null,null
73,null,Cafeteria,4,null,null,null
74,null,Chapel,4,null,null,null
75,null,Family/Patient Resources,4,null,null,null
76,null,Gift Shop,4,null,null,null
77,null,Gynocology & Oncology,4,null,null,null
78,null,Huvos Auditorium,4,null,null,null
79,null,Information,4,null,null,null
80,null,Obstetrics and Gynecology Associates,4,null,null,null
81,null,Outdoor Dining Terrace,4,null,null,null
82,null,Roslindale Pediatric Associates,4,null,null,null
83,null,Shuttle Pickup,4,null,null,null
84,null,Volunteer Services,4,null,null,null
85,null,Cardiology,4,null,null,null
86,null,Foot and Ankle Center,4,null,null,null
87,null,Gastroenterology Associates,4,null,null,null
88,null,HVMA Internal Medicine,4,null,null,null
89,null,HVMA Neurology,4,null,null,null
90,null,Medical Library,4,null,null,null
91,null,Medical Records,4,null,null,null
92,null,MOHS Clinic,4,null,null,null
93,null,Neurology,4,null,null,null
94,null,Primary Care Physicians,4,null,null,null
95,null,Pulmonary Services,4,null,null,null
96,null,Rheumatology Center,4,null,null,null
